gene	accession	%match	align_length	mismatch	gapopen	query_length	start	end	e-value	bitscore
IMA2	LIUU01000001.1	100.000	1770	0	0	1	1770	24152	22383	0.0	3269
IMA2	ANE_chrXV_contig_1	99.435	1770	10	0	1	1770	25197	23428	0.0	3214
IMA2	LIUU01000010.1	99.209	1770	14	0	1	1770	372821	374590	0.0	3192
IMA2	LIUU01000034.1	98.927	1770	19	0	1	1770	731903	733672	0.0	3164
IMA2	ANE_chrIX_contig_1	98.814	1770	21	0	1	1770	45620	47389	0.0	3153
IMA2	BAL_chrXV_contig_1	98.757	1770	22	0	1	1770	1048500	1050269	0.0	3147
IMA2	CABIKC010000010.1	98.701	1770	23	0	1	1770	14559	12790	0.0	3142
IMA2	BAL_chrIX_contig_1	98.701	1770	23	0	1	1770	284388	286157	0.0	3142
IMA2	LIUU01000013.1	98.531	1770	24	1	1	1770	885	2652	0.0	3123
IMA2	LIUU01000035.1	98.531	1770	20	3	1	1770	2408	4171	0.0	3120
IMA2	ANE_chrX_contig_1	98.533	1772	16	8	1	1770	14174	12411	0.0	3120
IMA2	CABIKC010000002.1	98.305	1770	30	0	1	1770	1048069	1049838	0.0	3103
IMA2	CFF_chrXV_contig_1	98.249	1770	31	0	1	1770	20596	18827	0.0	3097
IMA2	CEI_chrXV_contig_1	98.136	1770	32	1	1	1770	6126	4358	0.0	3085
IMA2	CABIKC010000014.1	98.079	1770	34	0	1	1770	14159	12390	0.0	3081
IMA2	CEI_chrIX_contig_1	97.628	1771	41	1	1	1770	422442	424212	0.0	3037
IMA2	CEI_chrX_contig_1	97.685	1771	32	6	1	1770	724219	725981	0.0	3035
IMA2	BAL_chrX_contig_1	97.631	1773	24	16	1	1770	701846	703603	0.0	3025
IMA2	CFF_chrX_contig_1	97.180	1773	34	14	1	1770	346792	348551	0.0	2983
