gene	accession	%match	align_length	mismatch	gapopen	query_length	start	end	e-value	bitscore
MAL32	LIUU01000005.1	100.000	1755	0	0	1	1755	7691	5937	0.0	3241
MAL32	CFF_chrVII_contig_6	99.772	1755	4	0	1	1755	24092	22338	0.0	3219
MAL32	LIUU01000065.1	99.601	1755	7	0	1	1755	332888	334642	0.0	3203
MAL32	ANE_chrVII_contig_2	99.544	1756	5	3	1	1755	14808	13055	0.0	3195
MAL32	CABIKC010000008.1	99.031	1755	17	0	1	1755	734995	736749	0.0	3147
MAL32	BAL_chrVII_contig_1	98.464	1758	24	2	1	1755	1056197	1057954	0.0	3094
MAL32	CEI_chrVII_contig_1	98.015	1763	26	5	1	1755	11947	10186	0.0	3053
MAL32	ANE_chrII_contig_3	99.524	420	2	0	1336	1755	6642	6223	0.0	765
MAL32	CABIKC010000005.1	99.048	420	4	0	1336	1755	6764	6345	0.0	754
MAL32	CEI_chrII_contig_1	97.857	420	9	0	1336	1755	791955	792374	0.0	726
